"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","test_schedulepage","100%","0","0","8","0","0"
"","test_patrolpage","100%","0","0","26","0","0"
"","test_washpage","100%","0","0","14","0","0"
"","test_attachpage","100%","0","0","4","0","0"
"","test_facepage","100%","0","0","8","0","0"
"","test_employeepage","100%","1","0","15","0","0"
"","test_accesspage","100%","0","0","21","0","0"
"","test_gateoutpage","100%","1","0","16","0","0"
"","test_buspage","100%","0","0","20","0","0"
"","test_berthpage","100%","0","0","24","0","0"
"","test_userpage","100%","0","0","27","0","0"
"","test_loginpage","100%","0","0","9","0","0"
"","test_devicepage","100%","6","0","35","0","0"
"","test_studypage","100%","0","0","10","0","0"
"","test_homepage","100%","0","0","9","0","0"
"","test_attendpage","100%","0","0","15","0","0"
"","test_sysorgpage","100%","0","0","6","0","0"
"","test_gateinpage","100%","0","0","10","0","0"
"","test_emppage","100%","0","0","5","0","0"
"","test_routepage","100%","0","0","4","0","0"
"","test_rolepage","100%","0","0","3","0","0"
"","test_positionpage","100%","0","0","9","0","0"
"","test_cardpage","100%","1","0","0","0","0"
"","test_companypage","100%","0","0","3","0","0"
"","test_noticepage","100%","1","0","6","0","0"
