"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 14:21:22 CST 2024","Tue Oct 29 14:21:25 CST 2024","3047","testcase","test_studypage","TestStudyPage","","","岗前学习",""
"passed","Tue Oct 29 14:19:42 CST 2024","Tue Oct 29 14:19:42 CST 2024","108","testcase","test_centralpage","TestCentralPage","","","车上报到/车道模块",""
"passed","Tue Oct 29 14:19:56 CST 2024","Tue Oct 29 14:19:56 CST 2024","62","testcase","test_exhortationpage","TestExhortationPage","","","岗前叮嘱模块",""
"passed","Tue Oct 29 14:18:52 CST 2024","Tue Oct 29 14:18:52 CST 2024","127","testcase","test_abnormalpage","TestAbnormalPage","","","异常记录模块",""
"passed","Tue Oct 29 14:21:28 CST 2024","Tue Oct 29 14:21:28 CST 2024","128","testcase","test_studypage","TestStudyPage","","","岗前学习",""
"passed","Tue Oct 29 14:19:50 CST 2024","Tue Oct 29 14:19:50 CST 2024","148","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:20:06 CST 2024","Tue Oct 29 14:20:07 CST 2024","172","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:19:55 CST 2024","Tue Oct 29 14:19:55 CST 2024","121","testcase","test_exhortationpage","TestExhortationPage","","","岗前叮嘱模块",""
"passed","Tue Oct 29 14:20:06 CST 2024","Tue Oct 29 14:20:06 CST 2024","143","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:19:55 CST 2024","Tue Oct 29 14:19:56 CST 2024","179","testcase","test_exhortationpage","TestExhortationPage","","","岗前叮嘱模块",""
"passed","Tue Oct 29 14:19:50 CST 2024","Tue Oct 29 14:19:50 CST 2024","115","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:19:24 CST 2024","Tue Oct 29 14:19:24 CST 2024","141","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:21:51 CST 2024","Tue Oct 29 14:21:52 CST 2024","206","testcase","test_userpage","TestUserPage","","","用户模块",""
"passed","Tue Oct 29 14:19:42 CST 2024","Tue Oct 29 14:19:42 CST 2024","101","testcase","test_companypage","TestCompanyPage","","","保洁公司/公司模块",""
"passed","Tue Oct 29 14:18:53 CST 2024","Tue Oct 29 14:18:53 CST 2024","178","testcase","test_accesspage","TestAccessPage","","","门禁/访客设备",""
"passed","Tue Oct 29 14:18:53 CST 2024","Tue Oct 29 14:18:53 CST 2024","132","testcase","test_accesspage","TestAccessPage","","","门禁/访客设备",""
"passed","Tue Oct 29 14:19:24 CST 2024","Tue Oct 29 14:19:24 CST 2024","106","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:19:42 CST 2024","Tue Oct 29 14:19:42 CST 2024","125","testcase","test_companypage","TestCompanyPage","","","保洁公司/公司模块",""
"passed","Tue Oct 29 14:20:07 CST 2024","Tue Oct 29 14:20:07 CST 2024","169","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:19:56 CST 2024","Tue Oct 29 14:19:56 CST 2024","98","testcase","test_exhortationpage","TestExhortationPage","","","岗前叮嘱模块",""
"passed","Tue Oct 29 14:19:53 CST 2024","Tue Oct 29 14:19:53 CST 2024","179","testcase","test_employeepage","TestEmployeePage","","","司机管理",""
"passed","Tue Oct 29 14:19:56 CST 2024","Tue Oct 29 14:19:56 CST 2024","125","testcase","test_exhortationpage","TestExhortationPage","","","岗前叮嘱模块",""
"passed","Tue Oct 29 14:19:54 CST 2024","Tue Oct 29 14:19:54 CST 2024","54","testcase","test_employeepage","TestEmployeePage","","","司机管理",""
"passed","Tue Oct 29 14:19:57 CST 2024","Tue Oct 29 14:19:57 CST 2024","136","testcase","test_gateinpage","TestGateInPage","","","回场模块",""
"passed","Tue Oct 29 14:19:28 CST 2024","Tue Oct 29 14:19:28 CST 2024","120","testcase","test_buspage","TestBusPage","","","车辆模块",""
"passed","Tue Oct 29 14:20:23 CST 2024","Tue Oct 29 14:20:23 CST 2024","98","testcase","test_schedulepage","TestSchedulePage","","","调度模块",""
"passed","Tue Oct 29 14:19:56 CST 2024","Tue Oct 29 14:19:56 CST 2024","65","testcase","test_exhortationpage","TestExhortationPage","","","岗前叮嘱模块",""
"passed","Tue Oct 29 14:22:35 CST 2024","Tue Oct 29 14:22:37 CST 2024","2368","testcase","test_washpage","TestWashPage","","","洗车报表/洗车记录/洗车模块",""
"passed","Tue Oct 29 14:19:22 CST 2024","Tue Oct 29 14:19:22 CST 2024","197","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:19:57 CST 2024","Tue Oct 29 14:19:57 CST 2024","244","testcase","test_facepage","TestFacePage","","","人脸审核模块",""
"passed","Tue Oct 29 14:19:28 CST 2024","Tue Oct 29 14:19:28 CST 2024","166","testcase","test_buspage","TestBusPage","","","车辆模块",""
"passed","Tue Oct 29 14:19:56 CST 2024","Tue Oct 29 14:19:56 CST 2024","91","testcase","test_facepage","TestFacePage","","","人脸审核模块",""
"passed","Tue Oct 29 14:22:17 CST 2024","Tue Oct 29 14:22:19 CST 2024","2575","testcase","test_userpage","TestUserPage","","","用户模块",""
"passed","Tue Oct 29 14:19:51 CST 2024","Tue Oct 29 14:19:51 CST 2024","102","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:20:15 CST 2024","Tue Oct 29 14:20:15 CST 2024","166","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:18:52 CST 2024","Tue Oct 29 14:18:52 CST 2024","158","testcase","test_abnormalpage","TestAbnormalPage","","","异常记录模块",""
"passed","Tue Oct 29 14:21:11 CST 2024","Tue Oct 29 14:21:19 CST 2024","8437","testcase","test_studypage","TestStudyPage","","","岗前学习",""
"passed","Tue Oct 29 14:19:31 CST 2024","Tue Oct 29 14:19:31 CST 2024","140","testcase","test_cardpage","TestCardPage","","","卡模块",""
"passed","Tue Oct 29 14:20:08 CST 2024","Tue Oct 29 14:20:11 CST 2024","3498","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:19:44 CST 2024","Tue Oct 29 14:19:44 CST 2024","442","testcase","test_dahuapage","TestDahuaPage","","","大华通道/大华门禁模块",""
"passed","Tue Oct 29 14:18:53 CST 2024","Tue Oct 29 14:18:53 CST 2024","176","testcase","test_accesspage","TestAccessPage","","","门禁/访客设备",""
"passed","Tue Oct 29 14:21:25 CST 2024","Tue Oct 29 14:21:28 CST 2024","2878","testcase","test_studypage","TestStudyPage","","","岗前学习",""
"passed","Tue Oct 29 14:20:05 CST 2024","Tue Oct 29 14:20:06 CST 2024","117","testcase","test_noticepage","TestNoticePage","","","公告模块",""
"passed","Tue Oct 29 14:19:46 CST 2024","Tue Oct 29 14:19:46 CST 2024","106","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:20:05 CST 2024","Tue Oct 29 14:20:05 CST 2024","94","testcase","test_noticepage","TestNoticePage","","","公告模块",""
"passed","Tue Oct 29 14:18:52 CST 2024","Tue Oct 29 14:18:52 CST 2024","124","testcase","test_abnormalpage","TestAbnormalPage","","","异常记录模块",""
"passed","Tue Oct 29 14:19:58 CST 2024","Tue Oct 29 14:19:58 CST 2024","424","testcase","test_gateinpage","TestGateInPage","","","回场模块",""
"passed","Tue Oct 29 14:20:21 CST 2024","Tue Oct 29 14:20:22 CST 2024","161","testcase","test_questionpage","TestQuestionPage","","","答题模块",""
"passed","Tue Oct 29 14:18:57 CST 2024","Tue Oct 29 14:18:58 CST 2024","133","testcase","test_attendpage","TestAttendPage","","","报到模块",""
"passed","Tue Oct 29 14:18:51 CST 2024","Tue Oct 29 14:18:52 CST 2024","633","testcase","test_abnormalpage","TestAbnormalPage","","","异常记录模块",""
"passed","Tue Oct 29 14:19:40 CST 2024","Tue Oct 29 14:19:40 CST 2024","94","testcase","test_cashpage","TestCashPage","","","收银/晨会/权限模块",""
"passed","Tue Oct 29 14:19:38 CST 2024","Tue Oct 29 14:19:38 CST 2024","142","testcase","test_cashpage","TestCashPage","","","收银/晨会/权限模块",""
"passed","Tue Oct 29 14:20:02 CST 2024","Tue Oct 29 14:20:02 CST 2024","87","testcase","test_homepage","TestHomePage","","","首页模块",""
"passed","Tue Oct 29 14:19:40 CST 2024","Tue Oct 29 14:19:40 CST 2024","123","testcase","test_cashpage","TestCashPage","","","收银/晨会/权限模块",""
"passed","Tue Oct 29 14:22:25 CST 2024","Tue Oct 29 14:22:28 CST 2024","3254","testcase","test_washpage","TestWashPage","","","洗车报表/洗车记录/洗车模块",""
"passed","Tue Oct 29 14:19:46 CST 2024","Tue Oct 29 14:19:46 CST 2024","119","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:20:07 CST 2024","Tue Oct 29 14:20:07 CST 2024","125","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:20:22 CST 2024","Tue Oct 29 14:20:22 CST 2024","220","testcase","test_rolepage","TestRolePage","","","角色模块",""
"passed","Tue Oct 29 14:20:00 CST 2024","Tue Oct 29 14:20:01 CST 2024","443","testcase","test_gateoutpage","TestGateOutPage","","","出场模块",""
"passed","Tue Oct 29 14:19:23 CST 2024","Tue Oct 29 14:19:23 CST 2024","196","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:20:02 CST 2024","Tue Oct 29 14:20:02 CST 2024","90","testcase","test_gateoutpage","TestGateOutPage","","","出场模块",""
"passed","Tue Oct 29 14:19:44 CST 2024","Tue Oct 29 14:19:46 CST 2024","1275","testcase","test_dahuapage","TestDahuaPage","","","大华通道/大华门禁模块",""
"passed","Tue Oct 29 14:21:35 CST 2024","Tue Oct 29 14:21:35 CST 2024","153","testcase","test_studypage","TestStudyPage","","","岗前学习",""
"passed","Tue Oct 29 14:19:28 CST 2024","Tue Oct 29 14:19:28 CST 2024","165","testcase","test_buspage","TestBusPage","","","车辆模块",""
"failed","Tue Oct 29 14:19:51 CST 2024","Tue Oct 29 14:19:51 CST 2024","91","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:20:06 CST 2024","Tue Oct 29 14:20:06 CST 2024","192","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:19:30 CST 2024","Tue Oct 29 14:19:31 CST 2024","181","testcase","test_cardpage","TestCardPage","","","卡模块",""
"passed","Tue Oct 29 14:19:43 CST 2024","Tue Oct 29 14:19:43 CST 2024","436","testcase","test_dahuapage","TestDahuaPage","","","大华通道/大华门禁模块",""
"passed","Tue Oct 29 14:19:52 CST 2024","Tue Oct 29 14:19:52 CST 2024","100","testcase","test_employeepage","TestEmployeePage","","","司机管理",""
"passed","Tue Oct 29 14:19:53 CST 2024","Tue Oct 29 14:19:53 CST 2024","68","testcase","test_employeepage","TestEmployeePage","","","司机管理",""
"passed","Tue Oct 29 14:20:06 CST 2024","Tue Oct 29 14:20:06 CST 2024","102","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:22:28 CST 2024","Tue Oct 29 14:22:29 CST 2024","172","testcase","test_washpage","TestWashPage","","","洗车报表/洗车记录/洗车模块",""
"passed","Tue Oct 29 14:21:35 CST 2024","Tue Oct 29 14:21:38 CST 2024","2954","testcase","test_sysorgpage","TestSysorgPage","","","组织模块",""
"passed","Tue Oct 29 14:20:14 CST 2024","Tue Oct 29 14:20:14 CST 2024","88","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:18:54 CST 2024","Tue Oct 29 14:18:54 CST 2024","103","testcase","test_accesspage","TestAccessPage","","","门禁/访客设备",""
"passed","Tue Oct 29 14:21:31 CST 2024","Tue Oct 29 14:21:35 CST 2024","3527","testcase","test_studypage","TestStudyPage","","","岗前学习",""
"passed","Tue Oct 29 14:20:06 CST 2024","Tue Oct 29 14:20:06 CST 2024","140","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:19:58 CST 2024","Tue Oct 29 14:19:58 CST 2024","255","testcase","test_gateinpage","TestGateInPage","","","回场模块",""
"passed","Tue Oct 29 14:20:05 CST 2024","Tue Oct 29 14:20:05 CST 2024","139","testcase","test_noticepage","TestNoticePage","","","公告模块",""
"passed","Tue Oct 29 14:21:19 CST 2024","Tue Oct 29 14:21:22 CST 2024","3203","testcase","test_studypage","TestStudyPage","","","岗前学习",""
"passed","Tue Oct 29 14:19:40 CST 2024","Tue Oct 29 14:19:40 CST 2024","144","testcase","test_cashpage","TestCashPage","","","收银/晨会/权限模块",""
"passed","Tue Oct 29 14:19:47 CST 2024","Tue Oct 29 14:19:48 CST 2024","995","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:19:40 CST 2024","Tue Oct 29 14:19:40 CST 2024","133","testcase","test_cashpage","TestCashPage","","","收银/晨会/权限模块",""
"passed","Tue Oct 29 14:19:22 CST 2024","Tue Oct 29 14:19:22 CST 2024","135","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:19:21 CST 2024","Tue Oct 29 14:19:21 CST 2024","541","testcase","test_attendpage","TestAttendPage","","","报到模块",""
"passed","Tue Oct 29 14:20:22 CST 2024","Tue Oct 29 14:20:22 CST 2024","99","testcase","test_routepage","TestRoutePage","","","线路模块",""
"passed","Tue Oct 29 14:19:23 CST 2024","Tue Oct 29 14:19:23 CST 2024","152","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:20:03 CST 2024","Tue Oct 29 14:20:04 CST 2024","176","testcase","test_loginpage","TestLoginPage","","","登录/登录日志模块",""
"passed","Tue Oct 29 14:22:32 CST 2024","Tue Oct 29 14:22:32 CST 2024","105","testcase","test_washpage","TestWashPage","","","洗车报表/洗车记录/洗车模块",""
"passed","Tue Oct 29 14:19:41 CST 2024","Tue Oct 29 14:19:41 CST 2024","109","testcase","test_centralpage","TestCentralPage","","","车上报到/车道模块",""
"failed","Tue Oct 29 14:19:26 CST 2024","Tue Oct 29 14:19:26 CST 2024","72","testcase","test_bloodpage","TestBloodPage","","","血压/血氧模块",""
"passed","Tue Oct 29 14:21:38 CST 2024","Tue Oct 29 14:21:41 CST 2024","2929","testcase","test_sysorgpage","TestSysorgPage","","","组织模块",""
"passed","Tue Oct 29 14:19:22 CST 2024","Tue Oct 29 14:19:22 CST 2024","171","testcase","test_attendpage","TestAttendPage","","","报到模块",""
"passed","Tue Oct 29 14:20:14 CST 2024","Tue Oct 29 14:20:14 CST 2024","93","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:20:01 CST 2024","Tue Oct 29 14:20:01 CST 2024","103","testcase","test_gateoutpage","TestGateOutPage","","","出场模块",""
"passed","Tue Oct 29 14:20:16 CST 2024","Tue Oct 29 14:20:18 CST 2024","2674","testcase","test_positionpage","TestPositionPage","","","停车场模块",""
"passed","Tue Oct 29 14:19:51 CST 2024","Tue Oct 29 14:19:51 CST 2024","95","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
